Leg,Round,Right Fencer,Left Fencer,Right Score,Left Score,MOV,Outcome,Scaled Outcome
20252,pool1,BLANCH ALECSANDREI ETHAN,DE GUZMAN REYNALDO,5.0,0.0,5.0,1,1.0
20252,pool1,FUENTES ENRICO GABRIEL,JOSE NOELITO JR.,2.0,5.0,-3.0,0,0.2
20252,pool1,DE GUZMAN REYNALDO,CARLOS KYLE ADAM,5.0,2.0,3.0,1,0.8
20252,pool1,ANG SEAN TIMOTHY,FUENTES ENRICO GABRIEL,0.0,5.0,-5.0,0,0.0
20252,pool1,JOSE NOELITO JR.,BLANCH ALECSANDREI ETHAN,5.0,3.0,2.0,1,0.7
20252,pool1,CARLOS KYLE ADAM,FUENTES ENRICO GABRIEL,1.0,5.0,-4.0,0,0.09999999999999998
20252,pool1,DE GUZMAN REYNALDO,JOSE NOELITO JR.,0.0,5.0,-5.0,0,0.0
20252,pool1,BLANCH ALECSANDREI ETHAN,ANG SEAN TIMOTHY,5.0,2.0,3.0,1,0.8
20252,pool1,JOSE NOELITO JR.,CARLOS KYLE ADAM,5.0,1.0,4.0,1,0.9
20252,pool1,FUENTES ENRICO GABRIEL,BLANCH ALECSANDREI ETHAN,5.0,4.0,1.0,1,0.6
20252,pool1,ANG SEAN TIMOTHY,DE GUZMAN REYNALDO,1.0,2.0,-1.0,0,0.25
20252,pool1,CARLOS KYLE ADAM,BLANCH ALECSANDREI ETHAN,3.0,5.0,-2.0,0,0.3
20252,pool1,JOSE NOELITO JR.,ANG SEAN TIMOTHY,5.0,0.0,5.0,1,1.0
20252,pool1,DE GUZMAN REYNALDO,FUENTES ENRICO GABRIEL,1.0,5.0,-4.0,0,0.09999999999999998
20252,pool2,NUNEZ RAMON ANGELO GABRIEL,ENSAMTAN EDAN YAKOV,3.0,5.0,-2.0,0,0.3
20252,pool2,RAMOS THADDEUS,ENCELAN RAMIL JR.,3.0,5.0,-2.0,0,0.3
20252,pool2,ERGINA LEE EIGRAN,BAUTISTA GABRIEL ANTONIO,5.0,1.0,4.0,1,0.9
20252,pool2,ENCELAN RAMIL JR.,NUNEZ RAMON ANGELO GABRIEL,5.0,1.0,4.0,1,0.9
20252,pool2,ENSAMTAN EDAN YAKOV,ERGINA LEE EIGRAN,4.0,5.0,-1.0,0,0.4
20252,pool2,BAUTISTA GABRIEL ANTONIO,RAMOS THADDEUS,2.0,5.0,-3.0,0,0.2
20252,pool2,NUNEZ RAMON ANGELO GABRIEL,ERGINA LEE EIGRAN,0.0,5.0,-5.0,0,0.0
20252,pool2,ENCELAN RAMIL JR.,BAUTISTA GABRIEL ANTONIO,5.0,3.0,2.0,1,0.7
20252,pool2,RAMOS THADDEUS,ENSAMTAN EDAN YAKOV,4.0,5.0,-1.0,0,0.4
20252,pool2,BAUTISTA GABRIEL ANTONIO,NUNEZ RAMON ANGELO GABRIEL,5.0,1.0,4.0,1,0.9
20252,pool2,ERGINA LEE EIGRAN,RAMOS THADDEUS,5.0,2.0,3.0,1,0.8
20252,pool2,ENSAMTAN EDAN YAKOV,ENCELAN RAMIL JR.,5.0,4.0,1.0,1,0.6
20252,pool2,NUNEZ RAMON ANGELO GABRIEL,RAMOS THADDEUS,5.0,2.0,3.0,1,0.8
20252,pool2,BAUTISTA GABRIEL ANTONIO,ENSAMTAN EDAN YAKOV,4.0,5.0,-1.0,0,0.4
20252,pool2,ENCELAN RAMIL JR.,ERGINA LEE EIGRAN,0.0,5.0,-5.0,0,0.0
20252,pool3,SON DIEGO RAFAEL,GONZALES TIMOTHY DALE,2.0,5.0,-3.0,0,0.2
20252,pool3,BUGARING DENZEL KENT,ARIAS ANTHONY BERNARD,2.0,5.0,-3.0,0,0.2
20252,pool3,PERALTA SIDNEY DEMITRI,RODRIGUEZ VINCE BENJAMIN,4.0,5.0,-1.0,0,0.4
20252,pool3,ARIAS ANTHONY BERNARD,SON DIEGO RAFAEL,4.0,5.0,-1.0,0,0.4
20252,pool3,PERALTA SIDNEY DEMITRI,GONZALES TIMOTHY DALE,3.0,5.0,-2.0,0,0.3
20252,pool3,RODRIGUEZ VINCE BENJAMIN,BUGARING DENZEL KENT,5.0,4.0,1.0,1,0.6
20252,pool3,SON DIEGO RAFAEL,PERALTA SIDNEY DEMITRI,2.0,5.0,-3.0,0,0.2
20252,pool3,ARIAS ANTHONY BERNARD,RODRIGUEZ VINCE BENJAMIN,3.0,5.0,-2.0,0,0.3
20252,pool3,BUGARING DENZEL KENT,GONZALES TIMOTHY DALE,1.0,5.0,-4.0,0,0.09999999999999998
20252,pool3,RODRIGUEZ VINCE BENJAMIN,SON DIEGO RAFAEL,5.0,3.0,2.0,1,0.7
20252,pool3,PERALTA SIDNEY DEMITRI,BUGARING DENZEL KENT,5.0,2.0,3.0,1,0.8
20252,pool3,ARIAS ANTHONY BERNARD,GONZALES TIMOTHY DALE,2.0,5.0,-3.0,0,0.2
20252,pool3,SON DIEGO RAFAEL,BUGARING DENZEL KENT,5.0,4.0,1.0,1,0.6
20252,pool3,RODRIGUEZ VINCE BENJAMIN,GONZALES TIMOTHY DALE,2.0,5.0,-3.0,0,0.2
20252,pool3,ARIAS ANTHONY BERNARD,PERALTA SIDNEY DEMITRI,2.0,5.0,-3.0,0,0.2
20252,pool4,IGARES DUSTIN,LAURON SEAN PATRICK,0.0,5.0,-5.0,0,0.0
20252,pool4,OCAMPO TAN ALLAN,PANES KEN,0.0,5.0,-5.0,0,0.0
20252,pool4,BERNAL KIETH MEANFRED,GODBOUT JOSEPH ANTHONY,4.0,2.0,2.0,1,0.75
20252,pool4,IGARES DUSTIN,PANES KEN,5.0,4.0,1.0,1,0.6
20252,pool4,LAURON SEAN PATRICK,BERNAL KIETH MEANFRED,5.0,0.0,5.0,1,1.0
20252,pool4,GODBOUT JOSEPH ANTHONY,OCAMPO TAN ALLAN,2.0,5.0,-3.0,0,0.2
20252,pool4,IGARES DUSTIN,BERNAL KIETH MEANFRED,1.0,5.0,-4.0,0,0.09999999999999998
20252,pool4,GODBOUT JOSEPH ANTHONY,PANES KEN,5.0,2.0,3.0,1,0.8
20252,pool4,OCAMPO TAN ALLAN,LAURON SEAN PATRICK,0.0,5.0,-5.0,0,0.0
20252,pool4,GODBOUT JOSEPH ANTHONY,IGARES DUSTIN,5.0,4.0,1.0,1,0.6
20252,pool4,BERNAL KIETH MEANFRED,OCAMPO TAN ALLAN,3.0,5.0,-2.0,0,0.3
20252,pool4,LAURON SEAN PATRICK,PANES KEN,5.0,4.0,1.0,1,0.6
20252,pool4,IGARES DUSTIN,OCAMPO TAN ALLAN,5.0,4.0,1.0,1,0.6
20252,pool4,GODBOUT JOSEPH ANTHONY,LAURON SEAN PATRICK,4.0,5.0,-1.0,0,0.4
20252,pool4,BERNAL KIETH MEANFRED,PANES KEN,2.0,5.0,-3.0,0,0.2
20252,pool5,CAPINA DUNHILL,DELA CRUZ DOMINIQUE PAUL,5.0,0.0,5.0,1,1.0
20252,pool5,ARIAS CALEB LEON,GALLANO RUZEL,3.0,5.0,-2.0,0,0.3
20252,pool5,DE SILOS JOAQUIN PABLO,GUINTO YLLAC JAVIER,1.0,5.0,-4.0,0,0.09999999999999998
20252,pool5,GALLANO RUZEL,CAPINA DUNHILL,1.0,5.0,-4.0,0,0.09999999999999998
20252,pool5,DELA CRUZ DOMINIQUE PAUL,DE SILOS JOAQUIN PABLO,5.0,2.0,3.0,1,0.8
20252,pool5,GUINTO YLLAC JAVIER,ARIAS CALEB LEON,5.0,3.0,2.0,1,0.7
